Kennziffer;Raumeinheit;Aggregat;Arbeitslosenquote;Beschäftigte am Wohnort ohne Berufsabschluss;Beschäftigte am Wohnort mit akademischem Abschluss;Frauenanteil;Ausländeranteil;Stimmenanteile AfD;Haushaltseinkommen;Medianeinkommen;Krankenhausbetten;Einwohner je Arzt;Einwohnerdichte
"07313";"Landau in der Pfalz, Stadt";"krsfr. Stadt";"5,3";"14,8";"18,3";"52,7";"9,9";"10,0";"1.789";"3.051";"18,35";"440,9";"558"
"07314";"Ludwigshafen am Rhein, Stadt";"krsfr. Stadt";"8,3";"17,3";"11,9";"50,2";"25,0";"16,3";"1.623";"4.534";"12,22";"529,9";"2.176"
"07315";"Mainz, Stadt";"krsfr. Stadt";"6,1";"14,0";"31,8";"51,4";"17,9";"7,3";"1.818";"3.554";"10,68";"503,8";"2.201"
"07316";"Neustadt an der Weinstraße, Stadt";"krsfr. Stadt";"5,6";"12,3";"15,2";"51,3";"10,6";"12,0";"2.213";"2.933";"6,84";"480,7";"456"
"07317";"Pirmasens, Stadt";"krsfr. Stadt";"12,3";"19,3";"7,1";"51,0";"11,2";"16,1";"1.634";"3.031";"10,64";"472,5";"662"
"07318";"Speyer, Stadt";"krsfr. Stadt";"5,7";"13,4";"16,2";"51,4";"14,9";"13,5";"1.998";"3.346";"12,88";"485,1";"1.192"
"07319";"Worms, Stadt";"krsfr. Stadt";"7,3";"18,3";"11,6";"50,8";"16,5";"15,0";"1.711";"3.102";"8,43";"606,4";"764"
"07320";"Zweibrücken, Stadt";"krsfr. Stadt";"6,9";"14,3";"10,0";"50,6";"9,7";"14,5";"1.682";"3.348";"6,36";"580,8";"485"
"07331";"Alzey-Worms";"Landkreis";"4,0";"11,9";"10,7";"50,1";"9,1";"13,8";"1.906";"2.848";"4,83";"892,5";"219"
"07332";"Bad Dürkheim";"Landkreis";"3,9";"11,4";"14,3";"51,1";"8,3";"12,4";"2.185";"2.947";"3,93";"955,0";"223"
"07333";"Donnersbergkreis";"Landkreis";"5,0";"13,9";"8,7";"50,4";"7,4";"13,7";"1.807";"3.393";"2,70";"938,8";"116"
"07334";"Germersheim";"Landkreis";"4,1";"14,3";"9,8";"50,1";"11,9";"16,3";"1.892";"3.836";"2,50";"944,7";"277"
"07335";"Kaiserslautern";"Landkreis";"5,2";"11,1";"9,1";"50,8";"8,0";"14,0";"1.769";"2.892";"5,03";"794,4";"165"
"07336";"Kusel";"Landkreis";"4,5";"11,8";"6,6";"50,3";"6,0";"14,0";"1.730";"2.895";"0,00";"931,1";"123"
"07337";"Südliche Weinstraße";"Landkreis";"4,1";"12,0";"10,3";"50,7";"7,2";"12,2";"2.007";"2.986";"6,35";"1.014,9";"173"
"07338";"Rhein-Pfalz-Kreis";"Landkreis";"3,5";"10,6";"13,9";"50,7";"9,9";"13,8";"2.161";"2.851";"0,00";"1.121,4";"504"
"07339";"Mainz-Bingen";"Landkreis";"3,6";"10,5";"17,3";"50,7";"9,6";"9,8";"2.208";"3.333";"1,64";"777,0";"347"
"07340";"Südwestpfalz";"Landkreis";"4,5";"12,0";"7,6";"50,6";"4,0";"12,9";"1.927";"2.642";"2,38";"1.363,9";"100"
"08111";"Stuttgart, Stadt";"krsfr. Stadt";"4,7";"14,6";"33,6";"50,0";"24,6";"8,8";"2.122";"4.351";"7,91";"575,2";"3.052"
"08115";"Böblingen";"Landkreis";"3,1";"13,3";"20,3";"50,3";"18,0";"11,7";"2.097";"4.596";"2,85";"861,8";"631"
"08116";"Esslingen";"Landkreis";"3,4";"13,3";"18,9";"50,1";"16,9";"11,7";"2.113";"3.740";"3,56";"814,1";"830"
"08117";"Göppingen";"Landkreis";"3,7";"14,7";"12,1";"50,2";"15,9";"14,7";"2.007";"3.428";"4,87";"848,8";"399"
"08118";"Ludwigsburg";"Landkreis";"3,3";"13,3";"19,3";"50,4";"17,5";"11,9";"2.147";"3.676";"3,20";"819,7";"790"
"08119";"Rems-Murr-Kreis";"Landkreis";"3,4";"13,8";"15,4";"50,5";"15,6";"13,7";"2.095";"3.425";"3,15";"853,2";"495"
"08121";"Heilbronn, Stadt";"krsfr. Stadt";"5,2";"17,6";"15,3";"49,6";"24,6";"16,4";"2.648";"3.372";"8,70";"517,0";"1.253"
"08125";"Heilbronn";"Landkreis";"3,2";"13,1";"12,4";"49,8";"13,9";"15,7";"2.037";"3.771";"3,59";"923,5";"310"
"08126";"Hohenlohekreis";"Landkreis";"2,6";"14,9";"9,7";"49,5";"10,4";"14,8";"2.013";"3.559";"2,56";"960,3";"143"
"08127";"Schwäbisch Hall";"Landkreis";"3,1";"14,6";"10,2";"49,8";"10,6";"14,5";"1.964";"3.283";"3,81";"870,9";"131"
"08128";"Main-Tauber-Kreis";"Landkreis";"2,9";"13,0";"9,6";"50,2";"8,7";"13,6";"1.922";"3.189";"8,21";"681,4";"101"
"08135";"Heidenheim";"Landkreis";"4,7";"14,7";"12,3";"50,2";"14,6";"13,3";"1.870";"3.580";"4,08";"776,5";"210"
"08136";"Ostalbkreis";"Landkreis";"3,1";"12,9";"13,2";"50,2";"10,5";"12,3";"2.030";"3.672";"3,39";"826,5";"207"
"08211";"Baden-Baden, Stadt";"krsfr. Stadt";"5,1";"13,0";"17,1";"52,0";"18,8";"10,7";"2.575";"3.303";"13,90";"420,9";"390"
"08212";"Karlsruhe, Stadt";"krsfr. Stadt";"4,5";"14,2";"30,0";"48,8";"18,5";"10,4";"1.885";"3.682";"8,87";"548,2";"1.799"
"08215";"Karlsruhe";"Landkreis";"3,1";"12,6";"14,7";"50,2";"12,8";"13,6";"1.989";"3.341";"2,03";"859,6";"408"
"08216";"Rastatt";"Landkreis";"3,0";"13,9";"10,6";"50,4";"13,3";"13,2";"1.931";"3.764";"2,59";"909,9";"312"
"08221";"Heidelberg, Stadt";"krsfr. Stadt";"4,4";"12,6";"42,9";"51,9";"20,6";"7,8";"1.955";"3.718";"18,85";"378,8";"1.475"
"08222";"Mannheim, Stadt";"krsfr. Stadt";"5,4";"15,5";"22,7";"50,1";"23,3";"12,8";"1.736";"3.829";"7,82";"527,4";"2.125"
"08225";"Neckar-Odenwald-Kreis";"Landkreis";"3,6";"15,0";"8,8";"49,8";"9,5";"14,1";"1.859";"3.148";"3,50";"890,5";"127"
"08226";"Rhein-Neckar-Kreis";"Landkreis";"4,0";"12,1";"18,5";"50,8";"12,3";"12,8";"2.096";"3.517";"2,76";"755,2";"515"
"08231";"Pforzheim, Stadt";"Landkreis";"6,3";"19,3";"11,8";"50,9";"25,3";"19,3";"1.901";"3.249";"9,59";"511,5";"1.267"
"08235";"Calw";"Landkreis";"3,3";"13,6";"10,4";"49,8";"14,6";"15,2";"1.971";"3.187";"7,94";"889,4";"197"
"08236";"Enzkreis";"Landkreis";"2,6";"12,8";"12,4";"50,4";"12,8";"14,9";"2.119";"3.275";"1,63";"935,7";"346"
"08237";"Freudenstadt";"Landkreis";"3,1";"13,7";"9,4";"50,1";"11,3";"14,7";"2.044";"3.396";"4,10";"870,0";"135"
"08311";"Freiburg im Breisgau, Stadt";"krsfr. Stadt";"5,3";"13,9";"33,1";"52,3";"17,1";"7,2";"1.827";"3.471";"9,83";"368,0";"1.500"
"08315";"Breisgau-Hochschwarzwald";"Landkreis";"3,0";"13,0";"14,2";"50,7";"11,6";"9,3";"2.057";"3.086";"5,11";"754,0";"190"
"08316";"Emmendingen";"Landkreis";"2,7";"12,9";"11,7";"50,6";"10,0";"10,0";"1.932";"3.203";"6,17";"738,6";"242"
"08317";"Ortenaukreis";"Landkreis";"3,2";"14,1";"9,7";"50,2";"11,0";"12,0";"1.950";"3.189";"5,38";"778,7";"229"
"08325";"Rottweil";"Landkreis";"2,6";"15,2";"10,0";"50,0";"11,0";"13,8";"2.096";"3.382";"6,00";"831,5";"180"
"08326";"Schwarzwald-Baar-Kreis";"Landkreis";"3,1";"15,7";"10,8";"50,3";"14,7";"12,8";"2.051";"3.271";"6,15";"738,5";"206"
"08327";"Tuttlingen";"Landkreis";"2,7";"18,7";"9,1";"49,8";"15,7";"14,1";"2.109";"3.493";"2,61";"905,2";"190"
"08335";"Konstanz";"Landkreis";"3,4";"15,1";"15,8";"51,2";"14,6";"10,3";"2.065";"3.267";"5,85";"659,0";"347"
"08336";"Lörrach";"Landkreis";"3,2";"16,8";"10,0";"51,0";"14,6";"10,9";"2.235";"3.382";"3,63";"830,2";"283"
"08337";"Waldshut";"Landkreis";"3,2";"17,5";"8,1";"50,4";"15,0";"10,5";"2.100";"3.117";"4,18";"900,5";"150"
"08415";"Reutlingen";"Landkreis";"3,5";"14,1";"15,2";"50,4";"15,3";"12,9";"2.044";"3.496";"4,32";"752,0";"262"
"08416";"Tübingen";"Landkreis";"2,9";"12,8";"26,5";"51,3";"13,3";"8,8";"1.951";"3.484";"8,53";"639,5";"435"
"08417";"Zollernalbkreis";"Landkreis";"3,4";"15,9";"9,4";"50,4";"12,1";"14,6";"2.123";"3.261";"2,92";"871,2";"205"
"08421";"Ulm, Stadt";"krsfr. Stadt";"3,8";"14,7";"26,6";"50,4";"19,3";"10,2";"2.169";"3.650";"12,28";"417,3";"1.058"
"08425";"Alb-Donau-Kreis";"Landkreis";"2,7";"12,8";"12,3";"49,4";"12,6";"12,5";"1.973";"3.239";"2,16";"828,2";"143"
"08426";"Biberach";"Landkreis";"2,4";"12,8";"12,3";"49,6";"10,0";"12,6";"2.017";"3.716";"4,07";"850,9";"141"
"08435";"Bodenseekreis";"Landkreis";"2,8";"12,2";"19,0";"50,7";"12,9";"10,3";"2.204";"3.896";"3,48";"654,4";"323"
"08436";"Ravensburg";"Landkreis";"2,8";"13,1";"14,5";"50,2";"10,7";"10,4";"1.968";"3.250";"6,13";"682,6";"174"
"08437";"Sigmaringen";"Landkreis";"3,2";"15,2";"8,9";"49,9";"10,3";"12,9";"1.902";"3.288";"5,03";"873,8";"108"
"09161";"Ingolstadt, Stadt";"krsfr. Stadt";"3,1";"12,6";"23,5";"49,5";"17,6";"15,3";"1.994";"4.635";"9,61";"528,3";"1.014"
"09162";"München, Stadt";"krsfr. Stadt";"4,2";"11,8";"35,7";"51,3";"25,5";"8,4";"2.419";"4.169";"7,67";"458,6";"4.686"
"09163";"Rosenheim, Stadt";"krsfr. Stadt";"4,6";"13,2";"17,5";"50,7";"20,5";"14,7";"1.946";"3.291";"9,92";"335,5";"1.695"
"09171";"Altötting";"Landkreis";"3,3";"10,8";"9,7";"50,6";"10,8";"13,6";"1.943";"3.524";"5,32";"750,6";"194"
"09172";"Berchtesgadener Land";"Landkreis";"3,9";"11,5";"9,1";"50,9";"15,7";"13,1";"1.893";"2.923";"6,18";"677,8";"125"
"09173";"Bad Tölz-Wolfratshausen";"Landkreis";"2,5";"10,4";"15,5";"50,7";"12,2";"11,9";"2.241";"3.104";"5,02";"666,2";"114"
"09174";"Dachau";"Landkreis";"2,2";"10,0";"15,8";"49,9";"15,4";"12,3";"2.101";"3.085";"3,26";"816,6";"264"
"09175";"Ebersberg";"Landkreis";"2,0";"10,1";"21,4";"50,1";"12,9";"10,3";"2.288";"3.103";"2,36";"828,2";"256"
"09176";"Eichstätt";"Landkreis";"1,5";"10,4";"14,5";"49,2";"8,9";"14,7";"2.038";"3.219";"3,48";"968,0";"108"
"09177";"Erding";"Landkreis";"1,8";"10,5";"12,8";"49,5";"11,1";"13,5";"2.069";"2.936";"3,05";"845,0";"157"
"09178";"Freising";"Landkreis";"2,1";"11,9";"18,3";"49,0";"16,8";"12,3";"1.986";"3.440";"2,01";"876,8";"223"
"09179";"Fürstenfeldbruck";"Landkreis";"2,6";"10,3";"20,2";"51,0";"14,3";"10,9";"2.202";"3.164";"1,75";"731,0";"501"
"09180";"Garmisch-Partenkirchen";"Landkreis";"3,4";"10,6";"12,0";"51,5";"12,7";"12,6";"2.173";"2.843";"15,42";"620,8";"87"
"09181";"Landsberg am Lech";"Landkreis";"2,7";"10,0";"16,9";"49,9";"8,3";"10,9";"2.163";"3.308";"3,98";"805,0";"148"
"09182";"Miesbach";"Landkreis";"2,6";"9,5";"16,9";"51,0";"12,1";"11,4";"2.483";"3.099";"4,63";"580,1";"115"
"09183";"Mühldorf a.Inn";"Landkreis";"3,6";"11,9";"9,1";"49,4";"11,5";"15,5";"1.982";"3.074";"3,02";"720,0";"142"
"09184";"München";"Landkreis";"2,6";"9,7";"28,0";"50,3";"17,1";"9,4";"2.600";"4.227";"3,93";"803,8";"522"
"09185";"Neuburg-Schrobenhausen";"Landkreis";"2,1";"12,3";"9,4";"49,6";"10,0";"15,1";"1.981";"3.209";"4,68";"843,5";"130"
"09186";"Pfaffenhofen a.d.Ilm";"Landkreis";"1,8";"10,9";"12,6";"49,1";"10,8";"15,2";"2.187";"3.282";"2,61";"901,7";"166"
"09187";"Rosenheim";"Landkreis";"2,5";"9,7";"13,9";"50,5";"10,0";"13,7";"2.159";"3.023";"10,93";"767,6";"180"
"09188";"Starnberg";"Landkreis";"2,8";"9,3";"27,3";"51,5";"13,9";"8,8";"3.242";"3.656";"9,45";"562,4";"278"
"09189";"Traunstein";"Landkreis";"2,9";"11,3";"10,9";"50,5";"9,7";"11,4";"2.067";"3.249";"4,88";"612,1";"115"
"09190";"Weilheim-Schongau";"Landkreis";"2,6";"11,4";"12,4";"50,3";"9,2";"11,7";"2.108";"3.509";"3,21";"633,3";"139"
"09261";"Landshut, Stadt";"krsfr. Stadt";"4,2";"13,0";"18,1";"51,4";"17,5";"13,0";"2.070";"3.140";"18,06";"380,7";"1.081"
"09262";"Passau, Stadt";"krsfr. Stadt";"4,6";"13,1";"19,5";"52,0";"14,1";"12,7";"1.783";"3.265";"14,27";"347,5";"744"
"09263";"Straubing, Stadt";"krsfr. Stadt";"4,6";"15,5";"10,1";"49,7";"15,4";"17,2";"1.855";"3.007";"9,55";"374,7";"704"
"09271";"Deggendorf";"Landkreis";"2,8";"12,5";"9,0";"50,1";"8,4";"18,4";"1.878";"3.056";"11,08";"678,5";"138"
"09272";"Freyung-Grafenau";"Landkreis";"3,0";"11,4";"5,9";"50,1";"4,5";"20,1";"1.769";"2.773";"5,18";"860,9";"80"
"09273";"Kelheim";"Landkreis";"2,6";"12,2";"9,0";"49,2";"11,7";"14,9";"1.952";"3.094";"3,18";"877,7";"114"
"09274";"Landshut";"Landkreis";"2,5";"10,9";"9,6";"49,2";"9,3";"15,1";"2.004";"3.096";"1,19";"1.278,4";"117"
"09275";"Passau";"Landkreis";"3,3";"11,9";"6,9";"50,3";"7,3";"17,2";"1.852";"2.749";"3,59";"828,3";"125"
